Species,Complete,CompleteSingleCopy,CompleteDup,Fragmented,Missing,BuscoScore
Cabingdonii,NA,NA,NA,NA,NA,NA
Amarmorata,7051,6915,136,128,301,0.942
Cinsculpta,7122,6599,523,68,290,0.952
Cmccordii,7073,6937,136,102,305,0.945
Cmydas,NA,NA,NA,NA,NA,NA
Cpicta,NA,NA,NA,NA,NA,NA
Cserpentina,NA,NA,NA,NA,NA,NA
Dcoriacea,NA,NA,NA,NA,NA,NA
Dmawii,7162,6991,171,53,265,0.958
Esubglobosa,7184,6966,218,46,250,0.96
Gevgoodei,NA,NA,NA,NA,NA,NA
Lkempii,NA,NA,NA,NA,NA,NA
Mmutica,NA,NA,NA,NA,NA,NA
Mreevesii,NA,NA,NA,NA,NA,NA
Mterrapin,NA,NA,NA,NA,NA,NA
Mtuberculata,7155,6797,358,54,271,0.957
Pcastaneus,NA,NA,NA,NA,NA,NA
Pexpansa,7158,7052,106,58,264,0.957
Pmegacephalum,NA,NA,NA,NA,NA,NA
Psinensis,NA,NA,NA,NA,NA,NA
Rswinhoei,7127,7040,87,47,306,0.953
Tscripta,NA,NA,NA,NA,NA,NA
